Examen 1 15.0%;Examen 2 Práctico 5.0%;Examen 2 Teórico 10.0%;Examen 2 Práctico Ext 0.25%;Total: Exámenes 30.25%;Tarea 1;Tarea 2;Total: Tareas 7.5%;Proyecto Indiviual Docu 3.75%;Proyecto Individual Funcional 11.25%;Proyecto Individual Entrega V 0.0%;Proyecto Individual Entrega M 0.0%;Proyecto Grupal 1 Funcional 13.12%;Proyecto Grupal 1 Docu 4.38%;Proyecto Grupal 2 Funcional 13.12%;Proyecto Grupal 2 Docu 4.38%;Total: Proyectos 50.0%;Entrega;Total: Investigación 5.0%;Taller 1;Taller 2;Taller 3;Taller 4;Taller 5;Total: Talleres 7.5%;Resumen 1;Resumen 2;Resumen 3;Resumen 4;Total: Extra 2.0%;Resumen;Total: Extra 5 noviembre 1.0%;Total: ;Final
 41.0; 86.7; 54.8; 100.0; 16.22; ; 87.3; 3.27; 82.0; 48.0; ; ; 60.0; 84.7; 81.0; 100.0; 35.06; 100.0; 5.00; 81.7; 71.0; 100.0; 100.0; 100.0; 6.79; 100.0; 80.0; 100.0; 100.0; 1.90; 100.0; 1.00; 69.24; 70.0
 32.0; 100.0; 81.0; 100.0; 18.15; 34.7; 93.7; 4.82; 100.0; 42.0; ; ; 75.0; 100.0; 90.0; 100.0; 38.88; 94.0; 4.70; 100.0; 100.0; 100.0; 100.0; 90.0; 7.35; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 76.90; 75.0
 23.1; 93.3; 66.7; 0.0; 14.80; 53.3; 87.3; 5.27; 92.3; 62.0; ; ; 75.0; 100.0; 90.0; 100.0; 40.84; 94.0; 4.70; 100.0; 100.0; 100.0; 100.0; 100.0; 7.50; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 76.11; 75.0
 37.2; 90.0; 57.1; 100.0; 16.04; 62.7; 93.7; 5.87; 100.0; 90.0; ; ; 75.0; 92.3; 78.0; 100.0; 42.37; 100.0; 5.00; 100.0; 90.3; 100.0; 60.0; 100.0; 6.75; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 79.03; 80.0
 41.7; 90.0; 59.5; 100.0; 16.96; 33.3; 93.7; 4.76; 100.0; 80.0; ; ; 75.0; 92.3; 78.0; 100.0; 41.25; 100.0; 5.00; 100.0; 72.3; 45.0; 100.0; 100.0; 6.26; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 77.23; 75.0
 9.6; 0.0; 0.0; 0.0; 1.44; ; 74.7; 2.80; 0.0; 0.0; ; ; 0.0; 0.0; ; ; 0.00; ; 0.00; 45.0; ; ; ; ; 0.68; ; ; ; ; 0.00; 100.0; 1.00; 5.92; 5.0
 30.8; 93.3; 64.3; 80.0; 15.92; 16.0; 87.3; 3.87; 100.0; 82.0; ; ; 75.0; 92.3; 78.0; 100.0; 41.47; 100.0; 5.00; 90.0; 100.0; 0.0; 100.0; 100.0; 5.85; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 75.11; 75.0
 0.0; 0.0; 0.0; 0.0; 0.00; ; 0.0; 0.00; 0.0; ; ; ; 0.0; 0.0; ; ; 0.00; ; 0.00; ; ; ; ; ; 0.00; ; ; ; ; 0.00; ; 0.00; 0.00; 0.0
 86.5; 100.0; 73.8; 100.0; 25.61; 100.0; 100.0; 7.50; 100.0; 100.0; ; ; 100.0; 100.0; 100.0; 100.0; 50.00; 100.0; 5.00; 100.0; 100.0; 100.0; 100.0; 100.0; 7.50; 100.0; 100.0; 100.0; 100.0; 2.00; ; 0.00; 97.61; 100.0
 26.9; 100.0; 76.2; 100.0; 16.91; 44.0; 93.7; 5.16; 100.0; 86.7; ; ; 75.0; 100.0; 90.0; 100.0; 43.91; 94.0; 4.70; 76.7; 90.3; 70.0; 100.0; 90.0; 6.41; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 80.09; 80.0
